iter	RMSEWithUncertainty
0	1.387127732
1	1.360081706
2	1.335443553
3	1.311575488
4	1.284814486
5	1.264063979
6	1.243391707
7	1.222977367
8	1.206868099
9	1.18978212
10	1.172397686
11	1.15604396
12	1.140680414
13	1.126955948
14	1.114218392
15	1.101318552
16	1.088630867
17	1.076708642
18	1.065076275
19	1.054344909
20	1.043842741
21	1.034346414
22	1.025391345
23	1.015793052
24	1.0068407
25	0.9977847475
26	0.9904913584
27	0.9825425721
28	0.9752931731
29	0.9671168317
30	0.9599707049
31	0.952400078
32	0.9456764449
33	0.9403536931
34	0.9345512409
35	0.9282982933
36	0.9228236414
37	0.9176727963
38	0.912290479
39	0.9074134538
40	0.9025839688
41	0.8980228993
42	0.8922805314
43	0.8876060534
44	0.8842794638
45	0.8808740258
46	0.8764982873
47	0.8734703262
48	0.8694509787
49	0.8663562488
50	0.8634279501
51	0.859602832
52	0.85585234
53	0.8522579476
54	0.8489102616
55	0.8466335385
56	0.8435118545
57	0.8407491705
58	0.8386040919
59	0.8363991454
60	0.8338384309
61	0.8314112861
62	0.8289500905
63	0.8272770557
64	0.8259760441
65	0.8238308024
66	0.821598875
67	0.8189589595
68	0.8170307154
69	0.8152299341
70	0.8129177046
71	0.8108386841
72	0.8091817757
73	0.8072323665
74	0.8047050576
75	0.803227008
76	0.8016720735
77	0.799916175
78	0.7985707433
79	0.79711859
80	0.7956969423
81	0.7944195142
82	0.7928582292
83	0.7914928688
84	0.7897524497
85	0.7886692145
86	0.7873020852
87	0.786318865
88	0.7844851298
89	0.7836030255
90	0.7816447402
91	0.7804312903
92	0.779163403
93	0.7774342594
94	0.7761627284
95	0.7745481962
96	0.7737493581
97	0.772421446
98	0.7707999962
99	0.7694093219
100	0.7679077682
101	0.7666659115
102	0.7654508636
103	0.764204943
104	0.7633195156
105	0.7622223989
106	0.7605588156
107	0.7591850139
108	0.7582112937
109	0.757404716
110	0.7559516522
111	0.7548265282
112	0.7539256083
113	0.752719654
114	0.7518327874
115	0.750859661
116	0.7497764015
117	0.7487024627
118	0.747676236
119	0.7468153186
120	0.7456432945
121	0.7444327924
122	0.7431420929
123	0.7422678837
124	0.7408195927
125	0.7397141428
126	0.7385258139
127	0.7370842234
128	0.7358479946
129	0.7350096612
130	0.7332724452
131	0.7321116404
132	0.7310912959
133	0.7295979335
134	0.7282985017
135	0.7274222903
136	0.7265495892
137	0.7257109468
138	0.7248907332
139	0.7231155809
140	0.721945847
141	0.7206634375
142	0.7196509004
143	0.7186467192
144	0.7175540405
145	0.716101745
146	0.7153233573
147	0.7137522789
148	0.712092309
149	0.7109377299
150	0.7093142782
151	0.7079686396
152	0.7068088863
153	0.7061742848
154	0.7046318609
155	0.7039252904
156	0.7024716625
157	0.7016304737
158	0.7000888312
159	0.6988775602
160	0.6976690923
161	0.6960169353
162	0.6954616591
163	0.6945677438
164	0.6935383885
165	0.6926683479
166	0.6921748252
167	0.6911143677
168	0.690428728
169	0.6893427361
170	0.6881050252
171	0.6872416314
172	0.6860064685
173	0.6849449948
174	0.6836742512
175	0.6830989445
176	0.682104072
177	0.681405537
178	0.6807681486
179	0.6794906191
180	0.6782305597
181	0.6777702656
182	0.677062748
183	0.6751542615
184	0.6740141776
185	0.6735554163
186	0.6721800425
187	0.6715908891
188	0.6702959677
189	0.6692938239
190	0.6688967115
191	0.6677244402
192	0.6669504433
193	0.6655971264
194	0.6647768063
195	0.6641271572
196	0.6631595036
197	0.6622153011
198	0.6612402263
199	0.6607558273
200	0.6596403198
201	0.6588278677
202	0.6579929384
203	0.6569474007
204	0.6562582154
205	0.6554614619
206	0.6545823575
207	0.6538915539
208	0.6532202215
209	0.6522007216
210	0.6512683194
211	0.6502098292
212	0.6494343028
213	0.6485893351
214	0.6473720441
215	0.6462134835
216	0.6454697642
217	0.6449055729
218	0.643973033
219	0.6429633652
220	0.641949808
221	0.6415426137
222	0.6406831459
223	0.6400404973
224	0.639311043
225	0.637905311
226	0.6372177361
227	0.63654808
228	0.635761158
229	0.6351794947
230	0.6345880809
231	0.6338876145
232	0.6330515132
233	0.6319623374
234	0.6311581292
235	0.6303418822
236	0.6297466142
237	0.629230464
238	0.6286510236
239	0.6277900434
240	0.6272459369
241	0.6267340521
242	0.626136358
243	0.6254801346
244	0.624655069
245	0.6241146085
246	0.6228599458
247	0.6223320663
248	0.621684648
249	0.6210645873
250	0.6204986672
251	0.6195528652
252	0.6189559252
253	0.6183882504
254	0.6176059121
255	0.6170916225
256	0.6166888784
257	0.615963929
258	0.6155037842
259	0.6148156831
260	0.6141681192
261	0.6137539715
262	0.6132241687
263	0.6122010153
264	0.611691508
265	0.6109993368
266	0.610404589
267	0.6098903963
268	0.6088093434
269	0.6083923773
270	0.6078659293
271	0.6072445669
272	0.6065905912
273	0.6059988889
274	0.6055531259
275	0.6049941504
276	0.6045957763
277	0.603308381
278	0.6025438701
279	0.6021968443
280	0.6017417353
281	0.601378765
282	0.6003421128
283	0.5993940835
284	0.5989095436
285	0.598207433
286	0.5971524731
287	0.5960032732
288	0.5952248206
289	0.5946007191
290	0.5938500212
291	0.5929491615
292	0.592108047
293	0.5914170699
294	0.5905369864
295	0.5896788514
296	0.5892409626
297	0.588474124
298	0.5878802426
299	0.5871892116
300	0.5864234998
301	0.5855992695
302	0.584404551
303	0.5839397009
304	0.5831778699
305	0.5820126879
306	0.5814055333
307	0.5806015224
308	0.5797211384
309	0.5790237927
310	0.5784305445
311	0.5773197087
312	0.5765863046
313	0.5761128037
314	0.5752977834
315	0.5745649813
316	0.5737434892
317	0.5733434846
318	0.5726142378
319	0.571792401
320	0.5712994233
321	0.5703047454
322	0.569840384
323	0.5692775176
324	0.5687075785
325	0.5680642698
326	0.5674853425
327	0.5670439438
328	0.5665835784
329	0.5662752517
330	0.5654705574
331	0.564930066
332	0.5643518674
333	0.5639316192
334	0.5634778559
335	0.5629046732
336	0.5621004974
337	0.5617365905
338	0.5613154864
339	0.5606670986
340	0.5596338325
341	0.5590356068
342	0.5580434223
343	0.5575705668
344	0.5566777945
345	0.5561671748
346	0.555245429
347	0.5547920204
348	0.554291758
349	0.5538620785
350	0.5535913386
351	0.5531522838
352	0.5526268934
353	0.5519973515
354	0.5509447934
355	0.5502751916
356	0.5497941839
357	0.5493263425
358	0.5484959332
359	0.5479802838
360	0.5474539226
361	0.5469987753
362	0.5463872647
363	0.5459952103
364	0.5455738785
365	0.5452157857
366	0.544781164
367	0.5443138809
368	0.5437165055
369	0.5425171134
370	0.5421066418
371	0.5416254502
372	0.5410914685
373	0.5407989109
374	0.5404443582
375	0.539606525
376	0.5390297466
377	0.5385729752
378	0.5381167095
379	0.5375030296
380	0.5368810173
381	0.5356246712
382	0.5350758563
383	0.5347709243
384	0.5342811377
385	0.5337122492
386	0.5332580505
387	0.5327411637
388	0.5322419168
389	0.5318003776
390	0.5313905074
391	0.5308990327
392	0.5304388492
393	0.5300054449
394	0.5295421349
395	0.529101175
396	0.528530693
397	0.5281437341
398	0.5277041749
399	0.5274972223
400	0.5268876047
401	0.5264500278
402	0.5259718978
403	0.5256876497
404	0.5251347176
405	0.5244843181
406	0.5236799242
407	0.5230546765
408	0.5224054791
409	0.5220903147
410	0.5215583771
411	0.5212001663
412	0.5206432753
413	0.5198839631
414	0.5193998711
415	0.518712564
416	0.5181893207
417	0.5177309183
418	0.516954563
419	0.5165863248
420	0.5160830516
421	0.5155430245
422	0.515095246
423	0.5148401153
424	0.5143824789
425	0.5138392624
426	0.5132571505
427	0.5128744963
428	0.5123561108
429	0.5119807347
430	0.5112388274
431	0.5105937922
432	0.5100174813
433	0.5095159589
434	0.5090849628
435	0.508503439
436	0.5080047986
437	0.5074807136
438	0.5070894943
439	0.5067415597
440	0.5062287191
441	0.5058682921
442	0.5052928383
443	0.5047016826
444	0.5041873466
445	0.5037879944
446	0.5029276048
447	0.5025112611
448	0.5020823727
449	0.501709578
450	0.5013816558
451	0.5008977115
452	0.5005169582
453	0.4997481449
454	0.49916749
455	0.4988473158
456	0.4984588597
457	0.4979855532
458	0.4974757917
459	0.4970192827
460	0.4966713019
461	0.4963282246
462	0.4960240492
463	0.4955109431
464	0.4951397624
465	0.4948591888
466	0.4945336605
467	0.4943899711
468	0.4941486381
469	0.4938518672
470	0.4934152302
471	0.492905113
472	0.4926685691
473	0.4924104448
474	0.4920624501
475	0.4917575958
476	0.4914417577
477	0.4910628158
478	0.4906734477
479	0.4903717869
480	0.490150975
481	0.4899044316
482	0.4891715945
483	0.4887566794
484	0.488224807
485	0.4878023839
486	0.4873605528
487	0.4867327411
488	0.4863878417
489	0.4859300886
490	0.4856372664
491	0.4851953669
492	0.4847276921
493	0.4841842012
494	0.4836317736
495	0.4834272201
496	0.4831576362
497	0.4827968226
498	0.4822631777
499	0.4818114031
500	0.4812873676
501	0.4809231835
502	0.4805494089
503	0.4800472173
504	0.4794559743
505	0.4787985422
506	0.4783791953
507	0.4781642908
508	0.4777661092
509	0.477495021
510	0.477135707
511	0.4768474426
512	0.4762849865
513	0.4757850827
514	0.4754160947
515	0.4751523806
516	0.474754752
517	0.4742655232
518	0.4739713239
519	0.4736037457
520	0.473339922
521	0.4730360536
522	0.4726464239
523	0.4722876061
524	0.4718870273
525	0.4711621052
526	0.4705075196
527	0.4702416391
528	0.4699117533
529	0.4692900784
530	0.4686557333
531	0.4682889893
532	0.4679775737
533	0.4675894639
534	0.4673828611
535	0.4669525135
536	0.4665931982
537	0.4663824455
538	0.4659540586
539	0.4657984837
540	0.4654783905
541	0.4652385168
542	0.46495613
543	0.4647397146
544	0.4643512745
545	0.4639581543
546	0.463654915
547	0.4633331708
548	0.463005028
549	0.4626550165
550	0.4622657373
551	0.4617492151
552	0.4614194436
553	0.4612192238
554	0.4610647176
555	0.4606777123
556	0.4603196556
557	0.459738039
558	0.4595292908
559	0.4593223252
560	0.4589360776
561	0.458373009
562	0.4577816996
563	0.4576195938
564	0.4573224036
565	0.4571091158
566	0.4568638804
567	0.4565395748
568	0.4561517442
569	0.4558293742
570	0.4555542958
571	0.455221527
572	0.4547244803
573	0.4544444725
574	0.4539869921
575	0.4537210264
576	0.4533319037
577	0.4530321198
578	0.4526795248
579	0.4520885092
580	0.4517380537
581	0.451473836
582	0.4511930307
583	0.4508107367
584	0.4505860066
585	0.4500528667
586	0.44983351
587	0.4493398376
588	0.449183345
589	0.4485879971
590	0.4483829632
591	0.4481765021
592	0.4475730473
593	0.4471854287
594	0.4467026964
595	0.4464696416
596	0.4462089611
597	0.4457085035
598	0.4451648295
599	0.4449287348
600	0.4446804828
601	0.4441850152
602	0.4439246666
603	0.443584185
604	0.4431380586
605	0.442863797
606	0.4426915133
607	0.4423292724
608	0.4418317168
609	0.4415147696
610	0.4410444851
611	0.4406080619
612	0.4403529119
613	0.4401121872
614	0.439527243
615	0.4390594104
616	0.4387880696
617	0.4384719062
618	0.4382327334
619	0.4375331702
620	0.437207661
621	0.4366419175
622	0.4361721224
623	0.435932742
624	0.4357441857
625	0.4353953487
626	0.4349694454
627	0.4347096287
628	0.4344273137
629	0.4337309339
630	0.4335818334
631	0.4332452731
632	0.4331653093
633	0.4325815052
634	0.4321858211
635	0.4320582829
636	0.4318476846
637	0.4315821671
638	0.4312948595
639	0.4309740231
640	0.4302694112
641	0.4298852126
642	0.4295013841
643	0.4293121049
644	0.4290686243
645	0.4288261331
646	0.4283891974
647	0.4281065764
648	0.4278735938
649	0.4274803279
650	0.426766723
651	0.4265946343
652	0.4260283935
653	0.4257479179
654	0.425517804
655	0.4251530566
656	0.4247708127
657	0.4243549435
658	0.4239590953
659	0.4234845563
660	0.4232429379
661	0.4228816209
662	0.422701809
663	0.4224705212
664	0.4220371816
665	0.4216529023
666	0.421435704
667	0.4209483482
668	0.4205203261
669	0.4202435432
670	0.4195668255
671	0.4192594333
672	0.4190620492
673	0.4186870765
674	0.4184354449
675	0.4182055652
676	0.4180140522
677	0.4176934353
678	0.4174717569
679	0.4171195098
680	0.4168870414
681	0.4166219059
682	0.4164040469
683	0.4160415271
684	0.4159538421
685	0.4157050179
686	0.4153662324
687	0.4152121027
688	0.4149697946
689	0.4144634823
690	0.4139844313
691	0.413744419
692	0.413332571
693	0.4130107719
694	0.4128304685
695	0.4123989348
696	0.4121764844
697	0.4118368359
698	0.4114965517
699	0.4111519416
700	0.4109686279
701	0.4106471382
702	0.4103855055
703	0.4102011833
704	0.4099274818
705	0.4095966336
706	0.4091649218
707	0.4086642504
708	0.4084762078
709	0.4083088441
710	0.4078493191
711	0.407202363
712	0.406933806
713	0.4067106712
714	0.4065351868
715	0.4059779357
716	0.4058123484
717	0.405356651
718	0.405122896
719	0.404877118
720	0.4046406625
721	0.4044120042
722	0.4041316683
723	0.4038954708
724	0.4037439824
725	0.4036100418
726	0.4032747808
727	0.403019634
728	0.4027098285
729	0.4024746486
730	0.4022629771
731	0.4019227425
732	0.4017382094
733	0.401599672
734	0.4013764323
735	0.401203483
736	0.4006818777
737	0.4004621377
738	0.4003185783
739	0.3999486363
740	0.399698623
741	0.3992437862
742	0.3990921921
743	0.3984984556
744	0.3983148199
745	0.3980974991
746	0.397558534
747	0.397344903
748	0.3968975694
749	0.3966467868
750	0.3963485851
751	0.3960044589
752	0.395715203
753	0.395366612
754	0.3951017331
755	0.3948328477
756	0.394341307
757	0.3941468672
758	0.3939260694
759	0.3937135145
760	0.3935087831
761	0.393386702
762	0.3931344011
763	0.3927995848
764	0.3923515277
765	0.3921722358
766	0.3917609678
767	0.3912478023
768	0.3910043848
769	0.3907008191
770	0.3905522169
771	0.3903945952
772	0.390073974
773	0.3895710361
774	0.3893089998
775	0.3888403945
776	0.3885952009
777	0.388304076
778	0.3877535177
779	0.3875051742
780	0.3872038568
781	0.387066459
782	0.3866707
783	0.3862020033
784	0.3861093505
785	0.3856353747
786	0.3854419015
787	0.3851476426
788	0.3848248927
789	0.3844381132
790	0.3841600456
791	0.3839962826
792	0.3836907286
793	0.3833647364
794	0.3830292546
795	0.3826445021
796	0.3825087362
797	0.3824032791
798	0.3821641702
799	0.3815958704
800	0.3812609026
801	0.3808867704
802	0.3806162283
803	0.3804122873
804	0.3795848661
805	0.3794860937
806	0.3792657237
807	0.3790493874
808	0.3788091319
809	0.3785033261
810	0.3783094537
811	0.3780156722
812	0.3777490232
813	0.3775715382
814	0.3773637793
815	0.377220732
816	0.3769264434
817	0.3764585483
818	0.3758153585
819	0.3755923577
820	0.3752554174
821	0.3751174202
822	0.3748753004
823	0.3746475821
824	0.3743616907
825	0.3736578103
826	0.3733859228
827	0.3731880277
828	0.3727090713
829	0.3725077993
830	0.3722154843
831	0.3718484495
832	0.3717077513
833	0.3714832859
834	0.3712356678
835	0.3709099209
836	0.3706661287
837	0.3703690725
838	0.3699219424
839	0.3697154053
840	0.3693216055
841	0.3688595189
842	0.3687437576
843	0.3685981702
844	0.3683372612
845	0.3679938528
846	0.3677744766
847	0.3675467039
848	0.367386329
849	0.367159214
850	0.3667168597
851	0.3663576808
852	0.3660973277
853	0.365985269
854	0.3658367692
855	0.3654064201
856	0.3651385507
857	0.3649500457
858	0.364574185
859	0.3642352326
860	0.3639383941
861	0.3638354538
862	0.3634856038
863	0.363274391
864	0.3631449763
865	0.36263893
866	0.3624899076
867	0.3623582391
868	0.3618841911
869	0.361524614
870	0.3613478301
871	0.3610374428
872	0.3608951121
873	0.3605818119
874	0.360266758
875	0.3599477255
876	0.3597882612
877	0.3596021561
878	0.3593999745
879	0.359226008
880	0.3589681544
881	0.358798769
882	0.3586371633
883	0.3584456036
884	0.3580846973
885	0.3578416322
886	0.357402859
887	0.3572537762
888	0.3569199157
889	0.3566238581
890	0.3564257606
891	0.3560977728
892	0.3559863673
893	0.3558160864
894	0.3555314712
895	0.3553930065
896	0.3552187389
897	0.3550684402
