iter	Passed	Remaining
0	24	36083
1	45	34261
2	66	33094
3	87	32683
4	112	33514
5	136	33951
6	158	33797
7	179	33492
8	200	33293
9	225	33617
10	248	33591
11	267	33191
12	289	33111
13	309	32886
14	327	32466
15	352	32698
16	373	32605
17	393	32371
18	414	32280
19	432	31977
20	452	31880
21	475	31915
22	493	31678
23	513	31595
24	533	31497
25	553	31370
26	574	31318
27	597	31412
28	617	31337
29	638	31287
30	657	31149
31	681	31245
32	699	31091
33	718	30969
34	737	30853
35	757	30804
36	776	30690
37	794	30560
38	815	30562
39	838	30595
40	861	30644
41	883	30678
42	905	30667
43	934	30914
44	952	30810
45	970	30678
46	989	30603
47	1006	30459
48	1027	30417
49	1045	30319
50	1062	30183
51	1084	30200
52	1105	30180
53	1123	30076
54	1150	30233
55	1185	30568
56	1209	30617
57	1229	30566
58	1246	30454
59	1263	30323
60	1280	30202
61	1301	30179
62	1320	30124
63	1338	30030
64	1355	29917
65	1372	29819
66	1388	29707
67	1410	29693
68	1426	29590
69	1443	29498
70	1464	29477
71	1483	29430
72	1501	29346
73	1519	29283
74	1536	29202
75	1553	29110
76	1569	29011
77	1589	28977
78	1609	28956
79	1630	28944
80	1649	28904
81	1671	28912
82	1694	28921
83	1716	28942
84	1736	28908
85	1754	28855
86	1777	28865
87	1795	28809
88	1815	28776
89	1833	28722
90	1853	28691
91	1878	28751
92	1899	28735
93	1925	28801
94	1948	28824
95	1975	28891
96	1997	28897
97	2023	28950
98	2043	28918
99	2072	29011
100	2092	28978
101	2112	28955
102	2132	28917
103	2154	28917
104	2176	28913
105	2197	28902
106	2226	28988
107	2247	28962
108	2265	28916
109	2285	28877
110	2308	28889
111	2334	28932
112	2359	28960
113	2385	29008
114	2411	29046
115	2436	29072
116	2460	29083
117	2483	29081
118	2507	29100
119	2528	29076
120	2554	29117
121	2589	29247
122	2621	29343
123	2647	29379
124	2675	29435
125	2700	29446
126	2718	29392
127	2743	29403
128	2766	29405
129	2789	29394
130	2813	29399
131	2835	29385
132	2863	29433
133	2888	29441
134	2910	29431
135	2932	29406
136	2953	29382
137	2978	29399
138	3002	29393
139	3050	29637
140	3077	29665
141	3103	29675
142	3125	29655
143	3161	29773
144	3200	29911
145	3231	29972
146	3254	29955
147	3276	29931
148	3297	29900
149	3320	29882
150	3339	29837
151	3360	29804
152	3387	29823
153	3412	29826
154	3440	29854
155	3464	29844
156	3485	29815
157	3511	29822
158	3538	29844
159	3563	29844
160	3591	29871
161	3618	29884
162	3642	29873
163	3664	29850
164	3687	29835
165	3708	29798
166	3729	29769
167	3751	29740
168	3778	29757
169	3807	29788
170	3828	29754
171	3850	29731
172	3894	29869
173	3917	29854
174	3939	29826
175	3961	29800
176	3982	29769
177	4005	29745
178	4032	29755
179	4058	29764
180	4079	29728
181	4100	29696
182	4123	29676
183	4146	29658
184	4166	29619
185	4186	29577
186	4212	29574
187	4235	29559
188	4260	29553
189	4287	29557
190	4310	29542
191	4336	29539
192	4357	29511
193	4383	29509
194	4404	29479
195	4426	29452
196	4456	29477
197	4479	29456
198	4504	29449
199	4528	29434
200	4557	29455
201	4582	29444
202	4606	29429
203	4628	29407
204	4649	29373
205	4671	29346
206	4694	29322
207	4716	29297
208	4735	29252
209	4754	29204
210	4773	29159
211	4794	29126
212	4814	29090
213	4833	29048
214	4857	29030
215	4877	28994
216	4896	28949
217	4914	28901
218	4934	28866
219	4953	28817
220	4972	28775
221	4990	28726
222	5010	28694
223	5036	28690
224	5064	28698
225	5096	28729
226	5123	28733
227	5147	28716
228	5165	28671
229	5189	28657
230	5208	28610
231	5228	28578
232	5248	28542
233	5268	28504
234	5290	28479
235	5314	28462
236	5336	28440
237	5357	28407
238	5379	28382
239	5403	28367
240	5427	28353
241	5454	28353
242	5475	28324
243	5495	28288
244	5517	28261
245	5536	28221
246	5559	28201
247	5581	28178
248	5604	28158
249	5626	28134
250	5647	28102
251	5670	28083
252	5690	28048
253	5709	28008
254	5731	27985
255	5753	27956
256	5771	27915
257	5792	27884
258	5814	27858
259	5834	27826
260	5857	27807
261	5879	27779
262	5898	27743
263	5920	27716
264	5941	27688
265	5962	27661
266	5981	27620
267	5999	27580
268	6020	27552
269	6042	27528
270	6064	27502
271	6086	27480
272	6105	27441
273	6126	27412
274	6148	27390
275	6170	27366
276	6189	27325
277	6211	27305
278	6233	27279
279	6253	27249
280	6272	27210
281	6291	27172
282	6313	27150
283	6336	27129
284	6358	27105
285	6379	27081
286	6408	27084
287	6430	27060
288	6455	27050
289	6485	27061
290	6512	27055
291	6539	27052
292	6568	27056
293	6596	27058
294	6619	27037
295	6647	27039
296	6672	27027
297	6694	27003
298	6714	26971
299	6742	26971
300	6760	26930
301	6778	26889
302	6796	26850
303	6814	26807
304	6841	26803
305	6867	26795
306	6892	26785
307	6918	26773
308	6942	26760
309	6965	26739
310	6988	26717
311	7011	26699
312	7036	26683
313	7059	26663
314	7082	26642
315	7106	26625
316	7127	26599
317	7148	26569
318	7167	26534
319	7190	26514
320	7210	26482
321	7235	26471
322	7257	26445
323	7281	26428
324	7305	26412
325	7330	26399
326	7351	26369
327	7369	26331
328	7388	26296
329	7409	26270
330	7428	26235
331	7450	26210
332	7470	26180
333	7491	26151
334	7509	26113
335	7528	26079
336	7551	26058
337	7571	26029
338	7591	25997
339	7608	25959
340	7630	25935
341	7648	25898
342	7668	25865
343	7686	25831
344	7708	25806
345	7726	25770
346	7744	25734
347	7761	25693
348	7780	25661
349	7798	25622
350	7816	25587
351	7834	25551
352	7853	25516
353	7870	25479
354	7891	25451
355	7910	25421
356	7931	25392
357	7950	25360
358	7973	25343
359	7994	25315
360	8013	25282
361	8032	25250
362	8057	25237
363	8081	25222
364	8107	25211
365	8128	25185
366	8152	25169
367	8176	25150
368	8194	25117
369	8217	25097
370	8237	25067
371	8256	25035
372	8275	25003
373	8294	24973
374	8313	24939
375	8332	24908
376	8353	24883
377	8373	24854
378	8393	24826
379	8413	24796
380	8432	24766
381	8454	24742
382	8473	24712
383	8494	24686
384	8516	24664
385	8537	24639
386	8562	24626
387	8589	24617
388	8617	24612
389	8641	24596
390	8663	24572
391	8686	24552
392	8709	24531
393	8732	24513
394	8751	24482
395	8773	24459
396	8792	24428
397	8811	24398
398	8838	24387
399	8869	24390
400	8897	24383
401	8921	24366
402	8943	24345
403	8966	24324
404	8988	24303
405	9010	24279
406	9032	24257
407	9054	24233
408	9077	24213
409	9098	24189
410	9125	24179
411	9146	24154
412	9168	24131
413	9186	24099
414	9204	24065
415	9222	24032
416	9240	23998
417	9258	23966
418	9277	23935
419	9293	23898
420	9315	23874
421	9334	23845
422	9357	23823
423	9375	23791
424	9393	23761
425	9411	23727
426	9429	23694
427	9444	23656
428	9466	23633
429	9490	23615
430	9513	23595
431	9532	23567
432	9556	23549
433	9577	23523
434	9599	23501
435	9622	23482
436	9644	23460
437	9667	23440
438	9686	23410
439	9709	23390
440	9731	23369
441	9755	23351
442	9776	23326
443	9798	23304
444	9818	23278
445	9842	23261
446	9862	23233
447	9879	23199
448	9897	23167
449	9916	23139
450	9936	23111
451	9956	23084
452	9976	23057
453	10000	23039
454	10020	23013
455	10037	22979
456	10055	22950
457	10077	22927
458	10097	22901
459	10116	22873
460	10138	22850
461	10157	22820
462	10175	22790
463	10195	22765
464	10216	22739
465	10234	22709
466	10253	22681
467	10272	22651
468	10289	22620
469	10308	22591
470	10328	22563
471	10348	22539
472	10368	22512
473	10387	22484
474	10406	22455
475	10425	22427
476	10442	22394
477	10460	22365
478	10478	22334
479	10495	22302
480	10514	22275
