CV-перебор: 2×4 = 8 конфигов


=== TRAIN from=ALL cutoff=2026-06-05 → models/_sweep\cfg_all_2026-06-05 ===
▶ Методология: normalized-conformal (|факт−предикт|/σ, virtual ensembles) + epistemic-novelty
  wide из кэша: models/ohangaron_v23_staging/_wide_cache.pkl
  temp_front_bearing_pads [POOLED]: GPA1=ml_corridor GPA2=ml_corridor GPA3=ml_corridor
  temp_rear_bearing_pads [POOLED]: GPA1=ml_corridor GPA2=ml_corridor GPA3=ml_corridor
  vibro_front_support__GPA1: ml_corridor n_trees=62 R²_eval=-1.3303
  vibro_front_support__GPA2: ml_corridor n_trees=48 R²_eval=0.3023
  vibro_front_support__GPA3: univariate_only n_trees=54 R²_eval=-3.2459
  vibro_rear_support__GPA1: ml_corridor n_trees=109 R²_eval=0.0836
  vibro_rear_support__GPA2: ml_corridor n_trees=33 R²_eval=-0.3776
  vibro_rear_support__GPA3: ml_corridor n_trees=133 R²_eval=0.0605
  vibro_st_support__GPA1: ml_corridor n_trees=33 R²_eval=0.1319
  vibro_st_support__GPA2: univariate_only n_trees=17 R²_eval=-0.794
  vibro_st_support__GPA3: univariate_only n_trees=37 R²_eval=-1.7113
  vibro_rotor_front_horiz__GPA1: univariate_only n_trees=27 R²_eval=-10.4514
  vibro_rotor_front_horiz__GPA2: ml_corridor n_trees=12 R²_eval=-2.3621
  vibro_rotor_front_horiz__GPA3: ml_corridor n_trees=128 R²_eval=0.5211
  vibro_rotor_front_vert__GPA1: univariate_only n_trees=67 R²_eval=-12.4572
  vibro_rotor_front_vert__GPA2: ml_corridor n_trees=24 R²_eval=-6.5282
  vibro_rotor_front_vert__GPA3: ml_corridor n_trees=33 R²_eval=0.2834
  vibro_disp_rotor_rear_horiz__GPA1: ml_corridor n_trees=21 R²_eval=-8.0783
  vibro_disp_rotor_rear_horiz__GPA2: ml_corridor n_trees=51 R²_eval=0.6222
  vibro_disp_rotor_rear_horiz__GPA3: ml_corridor n_trees=56 R²_eval=0.2544
  vibro_disp_rotor_rear_vert__GPA1: ml_corridor n_trees=163 R²_eval=-0.3874
  vibro_disp_rotor_rear_vert__GPA2: ml_corridor n_trees=52 R²_eval=-0.3235
  vibro_disp_rotor_rear_vert__GPA3: univariate_only n_trees=39 R²_eval=-0.7249
