[15:43:39] START train_all_v2 ohangaron cutoff=2026-06-18 → staging
  wide из кэша: models/ohangaron_v2_staging/_wide_cache.pkl
  temp_front_bearing_pads__GPA1: univariate_only n_trees=9 R²_eval=-18.803
  temp_rear_bearing_pads__GPA1: ml_corridor n_trees=29 R²_eval=0.0513
  vibro_front_support__GPA1: univariate_only n_trees=14 R²_eval=-1.7915
  vibro_rear_support__GPA1: univariate_only n_trees=102 R²_eval=-0.0902
  vibro_st_support__GPA1: univariate_only n_trees=25 R²_eval=-0.4141
  vibro_rotor_front_horiz__GPA1: univariate_only n_trees=1 R²_eval=-17.3416
  vibro_rotor_front_vert__GPA1: univariate_only n_trees=7 R²_eval=-50.8027
  vibro_disp_rotor_rear_horiz__GPA1: univariate_only n_trees=2 R²_eval=-25.6906
  vibro_disp_rotor_rear_vert__GPA1: univariate_only n_trees=5 R²_eval=-0.5025
  polytropic_head__GPA1: univariate_only n_trees=22 R²_eval=-10.6989
  compressor_rotor_axial_shift_t1__GPA1: univariate_only n_trees=17 R²_eval=-0.6172
  compressor_rotor_axial_shift_t2__GPA1: univariate_only n_trees=17 R²_eval=-0.5381
  gas_temp_out_gpa__GPA1: univariate_only n_trees=36 R²_eval=-2.332
  oil_temp_out_zod__GPA1: univariate_only n_trees=24 R²_eval=-2.6894
  oil_temp_out_st__GPA1: univariate_only n_trees=24 R²_eval=-2.1155
  oil_temp_in_pod__GPA1: univariate_only n_trees=28 R²_eval=-1.0285
  temp_front_bearing_pads__GPA2: ml_corridor n_trees=86 R²_eval=0.6393
  temp_rear_bearing_pads__GPA2: ml_corridor n_trees=89 R²_eval=0.5906
  vibro_front_support__GPA2: ml_corridor n_trees=68 R²_eval=0.2034
  vibro_rear_support__GPA2: univariate_only n_trees=49 R²_eval=-0.0422
  vibro_st_support__GPA2: univariate_only n_trees=102 R²_eval=-0.2936
  vibro_rotor_front_horiz__GPA2: ml_corridor n_trees=96 R²_eval=0.3633
  vibro_rotor_front_vert__GPA2: univariate_only n_trees=59 R²_eval=-0.7122
  vibro_disp_rotor_rear_horiz__GPA2: ml_corridor n_trees=87 R²_eval=0.5604
  vibro_disp_rotor_rear_vert__GPA2: ml_corridor n_trees=68 R²_eval=0.0483
  polytropic_head__GPA2: univariate_only n_trees=108 R²_eval=-1.0484
  compressor_rotor_axial_shift_t1__GPA2: univariate_only n_trees=87 R²_eval=-0.6926
  compressor_rotor_axial_shift_t2__GPA2: univariate_only n_trees=101 R²_eval=-0.8107
  gas_temp_out_gpa__GPA2: univariate_only n_trees=140 R²_eval=0.0075
  oil_temp_out_zod__GPA2: ml_corridor n_trees=181 R²_eval=0.7596
  oil_temp_out_st__GPA2: ml_corridor n_trees=130 R²_eval=0.1976
  oil_temp_in_pod__GPA2: ml_corridor n_trees=128 R²_eval=0.5844
  temp_front_bearing_pads__GPA3: univariate_only n_trees=0 R²_eval=nan
  temp_rear_bearing_pads__GPA3: univariate_only n_trees=0 R²_eval=nan
  vibro_front_support__GPA3: univariate_only n_trees=0 R²_eval=nan
  vibro_rear_support__GPA3: univariate_only n_trees=0 R²_eval=nan
  vibro_st_support__GPA3: univariate_only n_trees=0 R²_eval=nan
  vibro_rotor_front_horiz__GPA3: univariate_only n_trees=0 R²_eval=nan
  vibro_rotor_front_vert__GPA3: univariate_only n_trees=0 R²_eval=nan
  vibro_disp_rotor_rear_horiz__GPA3: univariate_only n_trees=0 R²_eval=nan
  vibro_disp_rotor_rear_vert__GPA3: univariate_only n_trees=0 R²_eval=nan
  polytropic_head__GPA3: univariate_only n_trees=0 R²_eval=nan
  compressor_rotor_axial_shift_t1__GPA3: univariate_only n_trees=0 R²_eval=nan
  compressor_rotor_axial_shift_t2__GPA3: univariate_only n_trees=0 R²_eval=nan
  gas_temp_out_gpa__GPA3: univariate_only n_trees=0 R²_eval=nan
  oil_temp_out_zod__GPA3: univariate_only n_trees=0 R²_eval=nan
  oil_temp_out_st__GPA3: univariate_only n_trees=0 R²_eval=nan
  oil_temp_in_pod__GPA3: univariate_only n_trees=0 R²_eval=nan
[15:45:58] DONE за 139s | моделей=48 | detector_mode={'univariate_only': 38, 'ml_corridor': 10} | cutoff_mode={'ok': 32, 'univariate_only': 16}
