iter	Passed	Remaining
0	1	211
1	3	203
2	4	194
3	6	189
4	8	186
5	9	183
6	11	180
7	13	182
8	14	180
9	16	177
10	17	175
11	19	173
12	20	171
13	22	169
14	23	167
15	25	165
16	27	163
17	28	162
18	30	160
19	31	159
20	33	156
21	34	155
22	36	153
23	38	152
24	39	150
25	41	148
26	42	147
27	44	145
28	45	143
29	47	141
30	48	140
31	50	138
32	53	140
33	54	138
34	56	137
35	58	136
36	60	134
37	61	133
38	63	132
39	65	130
40	67	129
41	69	128
42	71	127
43	72	125
44	74	123
45	76	122
46	78	121
47	80	120
48	81	118
49	83	117
50	85	115
51	87	114
52	89	112
53	90	110
54	92	109
55	94	107
56	96	106
57	98	105
58	100	103
59	101	101
60	103	100
61	105	98
62	107	97
63	109	95
64	111	93
65	113	92
66	114	90
67	116	89
68	118	87
69	120	85
70	121	84
71	123	82
72	125	80
73	127	79
74	129	77
75	131	76
76	133	74
77	135	72
78	137	71
79	139	69
80	141	67
81	142	66
82	144	64
83	146	62
84	149	61
85	151	59
86	153	58
87	154	56
88	157	54
89	159	53
90	161	51
91	164	50
92	166	48
93	168	46
94	170	44
95	173	43
96	175	41
97	177	39
98	179	38
99	181	36
100	183	34
101	185	32
102	187	30
103	189	29
104	191	27
105	193	25
106	194	23
107	196	21
108	198	20
109	200	18
110	202	16
111	203	14
112	205	12
113	207	10
114	209	9
115	211	7
116	213	5
117	214	3
118	216	1
119	218	0
